date	close	volume	open	high	low
5/4/2010	3.52	753358	3.57	3.59	3.48
5/3/2010	3.64	485881	3.53	3.64	3.53
4/30/2010	3.5	680614	3.65	3.68	3.5
4/29/2010	3.66	659087	3.6	3.68	3.55
4/28/2010	3.56	460974	3.6	3.65	3.55
4/27/2010	3.57	910442	3.74	3.76	3.57
4/26/2010	3.74	390759	3.74	3.78	3.71
4/23/2010	3.73	596938	3.64	3.73	3.61
4/22/2010	3.63	653641	3.72	3.73	3.61
4/21/2010	3.74	979733	3.85	3.86	3.63
4/20/2010	3.72	1921108	3.76	3.89	3.63
4/19/2010	3.72	1856339	3.79	3.79	3.6
4/16/2010	3.6	739963	3.72	3.75	3.57
4/15/2010	3.72	792849	3.64	3.79	3.58
4/14/2010	3.66	679105	3.58	3.68	3.51
4/13/2010	3.51	779023	3.66	3.74	3.5
4/12/2010	3.69	1291025	3.57	3.75	3.47
4/9/2010	3.57	531767	3.57	3.62	3.515
4/8/2010	3.58	342403	3.58	3.62	3.51
4/7/2010	3.6	705200	3.63	3.65	3.54
4/6/2010	3.59	882951	3.53	3.63	3.44
4/5/2010	3.52	769749	3.25	3.52	3.25
4/1/2010	3.25	880976	3.33	3.3905	3.23
3/31/2010	3.32	669232	3.37	3.42	3.3
3/30/2010	3.4	405389	3.42	3.47	3.36
3/29/2010	3.41	609087	3.44	3.48	3.36
3/26/2010	3.41	788969	3.46	3.5615	3.4
3/25/2010	3.46	585817	3.52	3.61	3.45
3/24/2010	3.49	627749	3.58	3.68	3.47
3/23/2010	3.58	627041	3.52	3.59	3.455
3/22/2010	3.52	758386	3.44	3.56	3.38
3/19/2010	3.5	732229	3.63	3.688	3.49
3/18/2010	3.61	381635	3.65	3.73	3.59
3/17/2010	3.67	526027	3.66	3.75	3.63
3/16/2010	3.61	387288	3.58	3.64	3.51
3/15/2010	3.57	978017	3.74	3.8199	3.57
3/12/2010	3.73	1180980	3.55	3.76	3.52
3/11/2010	3.52	828072	3.5	3.569	3.45
3/10/2010	3.49	1080698	3.45	3.59	3.44
3/9/2010	3.45	784805	3.56	3.6	3.42
3/8/2010	3.56	526352	3.6	3.6499	3.52
3/5/2010	3.56	629224	3.48	3.57	3.45
3/4/2010	3.47	813878	3.37	3.52	3.33
3/3/2010	3.37	1206148	3.55	3.56	3.29
3/2/2010	3.54	1657899	3.9	3.9	3.51
3/1/2010	3.89	1313923	3.82	3.94	3.67
2/26/2010	3.79	1185131	3.88	3.88	3.69
2/25/2010	3.86	1261582	3.75	3.89	3.61
